,project_ID,cell_index,source,markdown,AuthorUserId,IsChange,LinesChangedFromFork,ForkParentKernelVersionId,PerformanceTier,markdown_text
965,28095646.0,10.0,"def is_rich(train):
    # Rich: travelling in first class AND alone or with a nanny AND spent more than 40 dollars
    train['is_rich'] = np.where((train['Pclass'] == 1) &
                                (train['SibSp'] < 1) &
                                (train['Parch'] < 1) &
                                (train['Fare'] > 40),
                                1, 0)
    return train['is_rich']

train['is_rich'] = is_rich(train)","Is Rich
Travelling first class AND Alone OR with a nanny AND spent more than 40 dollars",10654180.0,False,,,4.0,Titanic Data Loading and Processing :
966,28095646.0,12.0,"def stole_the_ticket(train):
    # Stole the ticket: Spent less than 5 dollars
    train['stole_the_ticket'] = np.where((train['Fare'] < 5),
                                         1, 0)
    return train['stole_the_ticket']

train['stole_the_ticket'] = stole_the_ticket(train)","Stole the ticket
Spent less than 5 dollars",10654180.0,False,,,4.0,Training Loop
967,28095646.0,14.0,"def daddys_atm(train):
    # Daddy's ATM: First class AND teenager AND alone or with a nanny AND spent more than 40 dollars
    train['daddys_atm'] = np.where((train['Age'] < 16) &
                                   (train['SibSp'] < 1) &
                                   (train['Parch'] < 1) &                                   
                                   (train['Fare'] > 40),
                                   1, 0)
    return train['daddys_atm']

train['daddys_atm'] = daddys_atm(train)","Daddy's ATM
First class AND teenager AND alone or with a nanny AND spent more than 40 dollars",10654180.0,False,,,4.0,TBD
968,28095646.0,16.0,"def business_as_usual(train):
    # Business as usual: Men with less than 10 dollars who also weren't travelling with their family.
    train['business_as_usual'] = np.where((train['Sex'] == 'male') &
                                          (train['SibSp'] + train ['Parch']) < 1 &
                                          (train['Fare'] < 10),
                                          1, 0)
    return train['business_as_usual']

train['business_as_usual'] = business_as_usual(train)","Business as usual
Men paid less than 10 dollars who also weren't travelling with their family.",10654180.0,False,,,4.0,"Let's do the same with masks. I will decode relevant masks from the train.csv file and then resize and save it in separate file.
The function for RLE encoding:"
969,28095646.0,18.0,"def party_all_night(train):
    # Party all night: Third class AND alone AND spent less than 5 dollars
    train['party_all_night'] = np.where((train['Pclass'] == 3) &
                                        (train['SibSp'] < 1) &
                                        (train['Parch'] < 1) &
                                        (train['Fare'] < 5),
                                        1, 0)
    return train['party_all_night']

train['party_all_night'] = party_all_night(train)","Party All Night
Third class AND alone AND spent less than 5 dollars",10654180.0,False,,,4.0,"Here is the function, which read RLE-mask from the DataFrame, resize it with some scale (in percen and store it in the folder /output"
970,28095646.0,20.0,"def why_me(train):
    # Why me: A person that traveled in third class alone.
    train['why_me'] = np.where((train['Pclass'] == 3) &
                               (train['SibSp'] == 0) &
                               (train['Parch'] == 0),
                               1, 0)
    return train['why_me']

train['why_me'] = why_me(train)","Why me
A person that traveled in third class alone",10654180.0,False,,,4.0,Area calculation function:
971,28095646.0,22.0,"def the_gang(train):
    # The gang: Third class AND travelled with 5+ family members AND spent less than 5 dollars.
    train['the_gang'] = np.where((train['Pclass'] == 3) &
                                 (train['SibSp'] + train ['Parch']) > 4 &
                                 (train['Fare'] < 5),
                                 1, 0)
    return train['the_gang']

train['the_gang'] = the_gang(train)","The Gang
Third class AND travelled with 5+ family members AND spent less than 5 dollars.",10654180.0,False,,,4.0,"Plotting images with the smallest and the largest mask ares
A bit modified function for small image plotting:"
972,28095646.0,24.0,"def let_them_think(train):
    # Let them think: A person that boarded in Southampton AND was a child AND was travelling alone.
    train['let_them_think'] = np.where((train['Boarded'] == 'Southampton') &
                                       (train['Age'] < 16) &
                                       (train['SibSp'] < 1) &
                                       (train['Parch'] < 1),
                                       1, 0)
    return train['let_them_think']

train['let_them_think'] = let_them_think(train)","Let Them Think
A person that boarded in Southampton AND was a child AND was travelling alone.",10654180.0,False,,,4.0,Visualization Helper
973,28095646.0,26.0,"def what_a_coincidence(train):
    # What a coincidence: travelling with a woman and she's not his wife.
    train['what_a_coincidence'] = np.where((train['Sex'] == 'male') &
                                           (train['SibSp'] == 0) &
                                           (train['Parch'] == 1),
                                           1, 0)
    return train['what_a_coincidence']

train['what_a_coincidence'] = what_a_coincidence(train)","What A Coincidence
Travelling with a woman and she's not his wife.",10654180.0,False,,,4.0,Utils
974,28095646.0,28.0,"def nanny_in_every_corner(train):
    # Nanny in every corner: travelling first class AND have at least one nanny
    train['nanny_in_every_corner'] = np.where((train['Pclass'] == 1) &
                                              (train['SibSp'] > 0) &
                                              (train['Parch'] > 0),
                                              1, 0)
    return train['nanny_in_every_corner']

train['nanny_in_every_corner'] = nanny_in_every_corner(train)","Nanny In Every Corner
Travelling first class AND have at least one nanny",10654180.0,False,,,4.0,Compile and fit function
